Date,Brand,Denom,AcquiCost,BuyRate
2024-10-29,Amazon.com,500.00,86,85
2024-10-29,Amazon.com,500.00,86,85
2024-10-29,Amazon.com,500.00,86,85
2024-10-29,Amazon.com,500.00,86,85
2024-10-29,Amazon.com,500.00,86,85
2024-10-29,Amazon.com,250.00,86,85
2024-10-29,Amazon.com,250.00,86,85
2024-10-29,Amazon.com,250.00,86,86
2024-10-29,Amazon.com,250.00,86,86
2024-10-29,Amazon.com,250.00,86,86
2024-10-29,Amazon.com,250.00,86,86
2024-10-29,Amazon.com,250.00,86,86
2024-10-29,Amazon.com,100.00,86,86
2024-10-29,Amazon.com,100.00,86,86
2024-10-29,Amazon.com,100.00,86,85.25
2024-10-29,Amazon.com,100.00,86,85.25
2024-10-29,Amazon.com,100.00,86,85.25
2024-10-29,Amazon.com,100.00,86,85.25
2024-10-29,Amazon.com,100.00,86,85.25
2024-10-29,Amazon.com,50.00,86,85.25
2024-10-29,Amazon.com,50.00,86,85.25
2024-10-29,Amazon.com,50.00,86,86
2024-10-29,Amazon.com,50.00,86,86
2024-10-29,Amazon.com,50.00,86,86
2024-10-29,Amazon.com,50.00,86,86
2024-10-29,Amazon.com,50.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Amazon.com,25.00,86,86
2024-10-29,Champs,25.00,86,86
2024-10-29,Champs,25.00,86,86
2024-10-29,Champs,200.00,86,86
2024-10-29,Champs,200.00,82,86
2024-10-29,Champs,200.00,82,82
2024-10-29,Champs,200.00,82,82
2024-10-29,Champs,200.00,82,82
2024-10-29,Champs,200.00,82,82
2024-10-29,Champs,200.00,82,82
2024-10-29,Champs,100.00,82,82
2024-10-29,Champs,100.00,82,82
2024-10-29,Champs,100.00,82,82
2024-10-29,Champs,100.00,82,82
2024-10-29,Champs,100.00,82,82
2024-10-29,Champs,100.00,82,82
2024-10-29,Champs,100.00,82,82
2024-10-29,Champs,50.00,82,82
2024-10-29,Champs,50.00,82,82
2024-10-29,Champs,50.00,82,81.75
2024-10-29,Champs,50.00,82,81.75
2024-10-29,Champs,50.00,82,81.75
2024-10-29,Champs,50.00,82,81.75
2024-10-29,Champs,50.00,82,81.75
2024-10-29,Champs,25.00,82,81.75
2024-10-29,Champs,25.00,82,81.75
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Champs,25.00,82,82.25
2024-10-29,Kohl's,25.00,82,82.25
2024-10-29,Kohl's,25.00,82,82.25
2024-10-29,Kohl's,500.00,82,82.25
2024-10-29,Kohl's,500.00,84,82.25
2024-10-29,Kohl's,500.00,84,81.75
2024-10-29,Kohl's,500.00,84,81.75
2024-10-29,Kohl's,500.00,84,81.75
2024-10-29,Lowe's,500.00,84,81.75
2024-10-29,Lowe's,500.00,84,81.75
2024-10-29,Lowe's,500.00,84,81.75
2024-10-29,Lowe's,500.00,85,81.75
2024-10-29,Lowe's,500.00,85,84.25
2024-10-29,Lowe's,500.00,85,84.25
2024-10-29,Lowe's,500.00,85,84.25
2024-10-29,Lowe's,500.00,85,84.25
2024-10-29,Lowe's,500.00,85,84.25
2024-10-29,Lowe's,250.00,85,84.25
2024-10-29,Lowe's,250.00,85,84.25
2024-10-29,Lowe's,250.00,85,84.75
2024-10-29,Lowe's,250.00,85,84.75
2024-10-29,Lowe's,250.00,85,84.75
2024-10-29,Lowe's,250.00,85,84.75
2024-10-29,Lowe's,250.00,85,84.75
2024-10-29,Lowe's,100.00,85,84.75
2024-10-29,Lowe's,100.00,85,84.75
2024-10-29,Lowe's,100.00,85,84.5
2024-10-29,Lowe's,100.00,85,84.5
2024-10-29,Lowe's,100.00,85,84.5
