Date,Brand,Denom,AcquiCost,BuyRate
2024-11-03,Abercrombie & Fitch,250.00,80,80
2024-11-03,Abercrombie & Fitch,100.00,80,80.25
2024-11-03,Bed Bath & Beyond,250.00,80,79
2024-11-03,Bed Bath & Beyond,500.00,80,79
2024-11-03,Wayfair.com,250.00,85,83
2024-11-03,Wayfair.com,100.00,85,83
2024-11-03,Bed Bath & Beyond,100.00,80,80
2024-11-03,Bed Bath & Beyond,25.00,80,80
2024-11-03,Kohl's,500.00,82,81.75
2024-11-03,Kohl's,250.00,82,81.75
2024-11-03,Kohl's,100.00,82,82
2024-11-03,Kohl's,50.00,82,80
2024-11-03,Kohl's,25.00,82,83
2024-11-04,Amazon.com,500.00,84,84.5
2024-11-04,Amazon.com,250.00,84,85
2024-11-04,Amazon.com,200.00,84,85
2024-11-04,Amazon.com,50.00,84,85.25
2024-11-04,Amazon.com,25.00,84,85.75
2024-11-04,Sephora,200.00,80,80.5
2024-11-04,Sephora,100.00,80,80
2024-11-04,Sephora,50.00,80,81
2024-11-04,Sephora,25.00,80,80.25
2024-11-04,Sam's Club,500.00,86,86
2024-11-04,Sam's Club,250.00,86,86.5
2024-11-04,Sam's Club,100.00,6,86.5
2024-11-04,Sam's Club,50.00,86,87
2024-11-04,Sam's Club,25.00,86,86
2024-11-04,Nike,200.00,85,85
2024-11-04,Nike,100.00,85,84.75
2024-11-04,Macy's,200.00,80,80.5
2024-11-04,Macy's,100.00,80,80.5
2024-11-04,Macy's,50.00,80,80.75
2024-11-04,Macy's,25.00,80,80.75
2024-11-04,Kohl's,500.00,82,81.75
2024-11-04,Kohl's,250.00,82,81.75
2024-11-04,Kohl's,100.00,82,82
2024-11-04,Kohl's,50.00,82,80
2024-11-04,Kohl's,25.00,82,81.5
