"id","Start","Brand","Offer","Bonus Date","Reg Rate","Coins per $1 - Now | Later | Total","Discount Type","Rate Bump?","End","Limits","Notes"
"1","08/16/2024 12:00 AM","Instacart","15X","08/31/2024","3X","60 | 240 | 300","Coins","","08/18/2024 11:59 PM","$2,000.00",""
"2","08/16/2024 09:00 AM","REI","15X","09/02/2024","6X","120 | 180 | 300","Coins","","08/18/2024 11:59 PM","No Limit",""
"3","08/16/2024 09:00 AM","Old Navy","20X","09/02/2024","5X","100 | 300 | 400","Coins","","08/18/2024 11:59 PM","No Limit",""
"4","08/16/2024 09:00 AM","Puma","20X","09/02/2024","8X","160 | 240 | 400","Coins","","08/18/2024 11:59 PM","No Limit",""
"5","08/16/2024 09:00 AM","Allbirds","20X","09/02/2024","5X","100 | 300 | 400","Coins","","08/18/2024 11:59 PM","No Limit",""
"6","08/14/2024 09:00 AM","PetSmart","14X","08/31/2024","7X","140 | 140 | 280","Coins","","08/16/2024 11:59 PM","No Limit",""
"7","08/14/2024 09:00 AM","Big Lots","12.5X","08/31/2024","5X","100 | 150 | 250","Coins","","08/16/2024 11:59 PM","No Limit",""
"8","08/14/2024 09:00 AM","Ikea","10X","08/31/2024","4X","80 | 120 | 200","Coins","","08/16/2024 11:59 PM","No Limit",""
"9","08/14/2024 09:00 AM","Kohl's","10X","08/31/2024","5X","100 | 100 | 200","Coins","","08/16/2024 11:59 PM","1 per person | Max $500",""
"10","08/14/2024 09:00 AM","Uber","9X","08/31/2024","3X","60 | 120 | 180","Coins","","08/16/2024 11:59 PM","Unclear | Contradiction","Graphic and TOS contradict each other with regards to limits."
"11","08/14/2024 09:00 AM","Chipotle","8X","08/31/2024","2X","40 | 120 | 160","Coins","","08/16/2024 11:59 PM","1 per person | Max $500",""
"12","08/14/2024 09:00 AM","Macy's","7.5X","08/31/2024","3X","60 | 90 | 150","Coins","","08/16/2024 11:59 PM","No Limit","Points Boosted to 15X"
"13","08/14/2024 01:00 PM","Amazon","10X","08/31/2024","4X","80 | 120 | 200","Coins","","08/14/2024 11:59 PM","No Limit",""
"14","08/14/2024 01:00 PM","Sam's Club","10X","08/31/2024","2X","40 | 160 | 200","Coins","","08/14/2024 11:59 PM","No Limit",""
"15","08/14/2024 01:00 PM","Nike","15X","08/31/2024","7X","140 | 160 | 300","Coins","","08/14/2024 11:59 PM","No Limit",""
"16","08/14/2024 01:00 PM","Adidas","17.5X","08/31/2024","7X","140 | 210 | 350","Coins","","08/14/2024 11:59 PM","No Limit",""
"17","08/13/2024 02:00 PM","Nike","15X","08/31/2024","7X","140 | 160 | 300","Coins","","08/13/2024 11:59 PM","Unstated",""
"18","08/12/2024 11:00 AM","Hopper","9X","08/31/2024","3X","60 | 120 | 180","Coins","","08/13/2024 11:59 PM","No Limit",""
"19","08/12/2024 11:00 AM","AirBnB","10X","08/31/2024","4X","80 | 120 | 200","Coins","","08/13/2024 11:59 PM","No Limit",""
"20","08/12/2024 11:00 AM","Groupon","12.5X","08/31/2024","5X","100 | 150 | 250","Coins","","08/13/2024 11:59 PM","No Limit",""
"21","08/12/2024 11:00 AM","Southwest","10X","08/31/2024","4X","80 | 120 | 200","Coins","","08/13/2024 11:59 PM","No Limit",""
"22","08/12/2024 11:00 AM","Hotels.Com","10X","08/31/2024","5X","100 | 100 | 200","Coins","","08/13/2024 11:59 PM","No Limit",""
"23","08/12/2024 11:00 AM","Delta","10X","08/31/2024","4X","80 | 120 | 200","Coins","","08/13/2024 11:59 PM","No Limit",""
"24","08/08/2024 12:00 AM","Old Navy","15X","08/23/2024","5X","100 | 200 | 300","Coins","","08/11/2024 11:59 PM","Unstated",""
"25","08/07/2024 12:00 AM","Abercrombie & Fitch","15X","08/23/2024","6X","120 | 180 | 300","Coins","","08/08/2024 11:59 PM","No Limit",""
"26","08/07/2024 12:00 AM","Finish Line","20X","08/23/2024","8X","160 | 240 | 400","Coins","","08/08/2024 11:59 PM","No Limit",""
"27","08/07/2024 12:00 AM","Nautica","15X","08/23/2024","6X","120 | 180 | 300","Coins","","08/08/2024 11:59 PM","No Limit",""
"28","08/07/2024 12:00 AM","REI","15X","08/23/2024","6X","120 | 180 | 300","Coins","","08/08/2024 11:59 PM","No Limit",""
"35","08/16/2024 02:30 PM","Amazon","7.5X","08/31/2024","4X","80 | 70 | 150","Coins","","08/16/2024 11:59 PM","No Limit",""
"36","08/14/2024 09:00 AM","Ikea","10X","08/31/2024","4X","80 | 120 | 200","Coins","","08/16/2024 11:59 PM","No Limit",""
"37","08/14/2024 09:00 AM","Macy's","15X","08/31/2024","3X","60 | 240 | 300","Coins","yes","08/16/2024 11:59 PM","No Limit",""
"39","08/17/2024 09:00 AM","""Bed, Bath, & Beyond""","10X","09/02/2024","5X","100 | 100 | 200","Coins","","08/18/2024 11:59 PM","No Limit",""
"40","08/17/2024 09:00 AM","Groupon","15X","09/02/2024","5X","100 | 200 | 300","Coins","","08/18/2024 11:59 PM","No Limit",""
